Player,Pos,Team,Rank,Bye Week,Sort Pos,Comment,Comment 2
Titans,DST,TEN,24,7,4,,
Bears,DST,CHI,25,13,4,,
Seahawks,DST,SEA,26,5,4,,
Colts.   ,DST,IND,27,11,4,,
Giants,DST,NYG,28,13,4,,
Falcons,DST,ATL,29,11,4,,
Raiders,DST,LV,30,13,4,,
Texans,DST,HOU,31,7,4,,
Cardinals,DST,ARI,32,14,4,,
Justin Tucker,K,BAL,1,13,5,,
Harrison Butker,K,KC,2,10,5,,i
Graham Gano,K,NYG,3,13,5,,i
Even McPherson,K,CIN,4,7,5,,
Younge Koo,K,ATL,5,11,5,,
Tyler Bass,K,BUF,6,13,5,,
Brandon McManus,K,JAC,7,9,5,,
Greg Zuerlein,K,NYJ,8,7,5,,i
Jason Myers,K,SEA,9,5,5,,
Greg Joseph,K,MIN,10,13,5,,
Riley Patterson,K,DET,11,9,5,,
Jason Sanders,K,MIA,12,10,5,,
Will Lutz,K,DEN,13,11,5,,
Cameron Dicker,K,LAC,14,5,5,,
Chris Boswell,K,PIT,15,6,5,,
Jake Elliott,K,PHI,16,10,5,,
Daniel Carlson,K,LV,17,13,5,,
Matt Gay,K,IND,18,11,5,,
Dustin Hopkins,K,Cle,19,5,5,,
Ka'imi Fairbairn,K,HOU,20,7,5,,
Joey Slye,K,WAS,21,14,5,,
Jake Moody,K,SF,22,9,5,,
Cairo Santos,K,CHI,23,13,5,,
Blake Grupe,K,NO,24,11,5,,
Chase McLaughlin,K,TB,25,5,5,,
Chad Ryland,K,NE,26,11,5,,
Anders Carlson,K,GB,27,6,5,,
Chrispher Dunn,K,LAR,28,10,5,,
Matt Prater,K,ARI,29,14,5,,
Tristan Viscaino,K,DAL,30,7,5,,
Nick Folk,K,TN,31,7,5,,
Eddy Pineiro,K,CAR,32,7,5,,
Austin Seibert,K,,,,5,,
Branden Aubrey,K,Dal,,7,5,,
Brett Maher,K,DEN,,9,5,,
Cade York,K,CLE,,,5,,
Caleb Shudak,K,TN,,,5,,
Elliott Fry,K,DEN,,9,5,,
Mason Crosby,K,GB,,6,5,,PUP
Matthew Wright,K,,,,5,,
Mike Badgley,K,WAS,,14,5,,
Randy Bullock,K,TN,,7,5,,
Robie Gould,K,SF,,9,5,,
Rodrigo Blankenship,K,,,,5,,
Ryan Succop,K,TB,,5,5,,
Tanner Brown,K,LAR,,10,5,,
Zane Gonzalez,K,SF,,9,5,,
